NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SUCROSE DEGRADATION%BIOCYC%PWY66-373	7		Rejected!	
PRPP BIOSYNTHESIS%BIOCYC%PWY0-662	3		Rejected!	
SUPERPATHWAY OF PYRIMIDINE DEOXYRIBONUCLEOSIDE SALVAGE%BIOCYC%PWY-7200	15	15		
PHOSPHATIDYLCHOLINE BIOSYNTHESIS%BIOCYC%PWY3O-450	6		Rejected!	
SUPERPATHWAY OF L-TRYPTOPHAN UTILIZATION%BIOCYC%PWY66-401	43	43		
FATTY ACID &BETA;-OXIDATION (PEROXISOME)%BIOCYC%PWY66-391	12		Rejected!	
L-TRYPTOPHAN DEGRADATION VIA TRYPTAMINE%BIOCYC%PWY-6307	4		Rejected!	
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	38	38		
PYRIDOXAL 5'-PHOSPHATE SALVAGE%BIOCYC%PLPSAL-PWY-1	2		Rejected!	
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION I%BIOCYC%GLUAMCAT-PWY	3		Rejected!	
4-HYDROXYBENZOATE BIOSYNTHESIS%BIOCYC%PWY-5754	1		Rejected!	
SUPERPATHWAY OF PURINE NUCLEOTIDE SALVAGE%BIOCYC%PWY66-409	29	29		
