Gene	GSM7465903	GSM7465905	GSM7465907	GSM7465909	GSM7465911	GSM7465913	GSM7465915	GSM7465917	GSM7465919
ACAD10	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.10622393312086	3.49673670396619	2.7689435317114	2.46045745145932	2.46978957978206
ACAD11	2.3027357148494	3.44143537223503	3.2502144123927	3.82591303930606	2.93146455734702	3.95388514636798	3.21766543584928	3.19300768217835	2.62234239624277
ACAD8	1.76636716708348	1.61140161541362	0.734676237536113	0.737093279337159	3.34404566104651	3.26105438334869	3.34080554600983	3.39744640869801	3.2089528103319
ACAD9	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.71488630941583	3.0275343199744	3.18516505759015	3.06346656389002	3.0386160069818
ACAD9-DT	3.25244775893843	3.92856143376557	3.83733466728953	3.72173032501887	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.77627287265135	-2.43564143663598
ACADL	5.79412170359431	5.8622493925765	6.09468011521411	6.71867107150983	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ACADM	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.90415350707416	4.4409043239936	4.75264871339973	4.64685439582211	4.64975157261223	4.31877730265935
ACADS	-2.43564143663598	-1.73856784154549	-2.43564143663598	-1.90415350707416	3.90110043492094	5.49618489070467	3.99404087309823	3.86505983998363	3.4990582023666
ACADSB	-0.633904514250899	-0.634544150248371	-0.204996199861227	1.05552423724129	3.4531303831726	4.38948194763644	3.69256832527453	3.25905202528286	3.2089528103319
ACADVL	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	6.88701820475738	8.31843335602914	6.59003141848107	6.93775479903778	6.7087834400995
ACAN	2.16167360936462	3.85032303664007	3.95843302688773	2.15901439382066	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
ACAP1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	7.15399250036655	6.93980147654588	6.98994518657396	7.17434977826145	7.06001166421835
ACAP2	-2.43564143663598	-1.73856784154549	-2.43564143663598	-2.43564143663598	5.7483291687146	5.77626034371999	6.07752972587961	5.98737810804705	5.95830485913396
ACAP3	2.3027357148494	2.91335675485823	2.66200921726561	3.12884627988594	3.91388011161769	4.32648983710508	3.16863612247036	3.22640774669403	3.67219892029922
ACAT1	-2.43564143663598	-2.43564143663598	-1.27785641916722	-1.21144214219188	4.34035320789317	4.97431237861137	4.11974064441473	4.06599684974191	3.86805256295112
ACAT2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.8219496951815	4.6065247180138	3.3554845187228	3.85085220453266	3.71807727269462
ACBD3	-1.02551848950384	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.89214798404757	4.62758139362081	4.59831180509774	4.56743155642322	4.66170155185934
ACBD3-AS1	3.58267063333009	3.98195727239108	3.94783462981349	4.84981506555588	0.831864917735458	-0.301086838552125	0.288031566057437	0.369040474470017	-2.43564143663598
ACBD4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.0286679847925	4.37087141479893	3.49460166650718	2.90747257585409	2.66980766879957
ACBD5	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.47053541774418	3.99497529802757	3.89703857771399	3.81104399251392	3.84755866054607
ACBD6	5.74962882120405	5.56615246495373	5.67372520249507	5.8410455160898	4.46715328152815	4.24025960282186	4.58591658723735	4.41643643534147	4.11094565843497
ACBD7	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.45827977467599	-2.43564143663598	-1.77627287265135	-1.35551739229356
ACCS	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.88029120244917	2.912141961531	2.11415683407797	1.94926706101284	2.52245335337135
ACCSL	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ACD	2.72663145456237	3.55854241699289	3.42850249947345	3.79201458075849	4.27251325809444	3.88560511270241	4.55445445941184	4.3243200115255	4.19446069383406
ACE	-2.43564143663598	-1.73856784154549	-2.43564143663598	-2.43564143663598	2.49439386322175	6.98944520690513	3.39864603898749	2.18270935857817	0.506461480193896
ACE2	-0.633904514250899	-0.91779189524796	-0.407827291991273	-1.90415350707416	1.36600409320111	4.59052804066029	3.2805489083158	1.10316638611881	-1.35551739229356
ACE2-DT	-1.02551848950384	-1.73856784154549	0.131072563662871	-0.55887305453277	-2.43564143663598	-1.86573162228269	-2.43564143663598	-2.43564143663598	-2.43564143663598
ACER1	1.76636716708348	2.03171891190779	2.24372171866971	3.101429539638	-1.14976545384205	-2.43564143663598	-0.738664083619498	-1.96444273133989	-0.744806137861475
ACER2	-1.56474487729607	-2.43564143663598	-2.43564143663598	-1.21144214219188	1.75494236738914	2.60754691765643	1.57647260828461	1.19600928348505	1.02745268977396
ACER3	9.40204475751281	9.61193367521105	9.64789592773403	10.0047215356388	3.09750038470685	3.79544354885631	3.3844018601639	3.18736504677822	2.92584069942678
ACHE	3.0269851819426	3.42610530755364	3.1051424359799	3.77476190861727	1.12351436097929	3.26105438334869	0.798290471070422	-0.0977196058508798	-1.35551739229356
ACIN1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	5.91651272387568	5.85871408663559	5.60513332827293	5.67499300678858	6.12083173042007
ACKR1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ACKR2	3.75626695047641	3.93939987184547	3.39768257801352	3.4446643052206	-2.43564143663598	-0.660736809476801	-1.79358463967636	-1.96444273133989	-2.43564143663598
ACKR3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.6539457653686	0.332684615184713	0.615240021455822	0.107423816617384	1.29297530837786
ACKR4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	1.5659224954334	0.709666501730202	-0.623884677008211	-0.744806137861475
ACLY	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.11541904887254	4.50208104895841	4.05825932910602	4.31399985169588	4.39136461671845
ACMSD	-1.02551848950384	0.74637832746905	0.403457663866572	0.229985547248151	-1.6539457653686	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
